"PlotID","ID","Plot","Block","Row","Range","Weight","Height","Maturity","Yield","TuberSet","Red","Green","Blue","NGRDI","BGI","GLI","VARI","myIndex.1","myIndex.2"
"42",29,42,1,14,3,3.83,16.5,4,532.3425351,13.15384615,48.7614228219697,68.2529888731061,38.7911931818182,0.173351546791174,0.567430338819551,0.222795233869967,0.258469889579701,-0.846019280213739,3.55939894287616
"43",15,43,1,14,4,2.135,10.5,4,288.4366435,12.73333333,55.1161629098361,68.7342469262295,40.2029542349727,0.118665890014761,0.582412173972142,0.187346417671207,0.174013727798618,-0.739866796335297,3.46954270408001
"44",16,44,1,13,4,3.87,32.5,5,562.9404,13.93333333,43.5152884615385,61.0631730769231,34.5718028846154,0.174139529327397,0.56451012611851,0.224119598060667,0.259526626386479,-0.838505138933121,3.5665248667503
"45",17,45,1,12,4,2.9,24,6,360.4432174,11.93333333,44.9576551649306,64.1942003038194,37.5050998263889,0.181771813710019,0.583385130753433,0.221187717778478,0.276533994631977,-0.933609600158594,3.45620400191859
"46",18,46,1,11,4,3.78,29,4,549.6198783,14.86666667,43.0620457848837,63.0426235465116,34.3674781976744,0.193408326229877,0.545758456774192,0.241956599882015,0.285189986203778,-0.818906402505781,3.69964500435699
"47",19,47,1,10,4,6.58,26.5,5,560.4214957,8.933333333,48.4863344457929,66.4940458131068,38.5482150080906,0.164855070914036,0.576940866097656,0.214635374737118,0.246896279938897,-0.860639193505663,3.49552935521189
"48",20,48,1,9,4,4.56,26,4,484.8101739,10.66666667,42.9145327856265,63.8951646959459,35.6215832309582,0.19763288079579,0.559960135451999,0.238647520723055,0.296292325128624,-0.888703726500392,3.60106253361747
"49",21,49,1,8,4,4.06,18.5,3,556.4442783,13.86666667,45.0737171277322,68.4733393101093,35.9065168203552,0.213116544366757,0.522668276487176,0.261819623676787,0.309875137142733,-0.778914828142333,3.87676245100106
"5",66,5,1,5,1,6.79,25.5,3,532.006487,8.2,43.2375525611621,62.828435588685,35.9217913799694,0.190838368635091,0.571869614181437,0.230629580319254,0.287420524617754,-0.913493920330651,3.53164743591291
"50",22,50,1,7,4,2.86,15,4,481.6473391,16,43.2456317204301,66.0992691532258,36.6857778897849,0.213640556564766,0.554693972326085,0.249147309845,0.320913605219574,-0.910153869524546,3.63421235170407
"51",23,51,1,6,4,3.31,19.5,5,533.8795184,15.23076923,44.6488815980278,66.7069406177494,36.469067212877,0.205929639707232,0.546373825068354,0.248491828153686,0.305412014389813,-0.855563417899274,3.6984026640706
"52",24,52,1,5,4,7.945,39.5,3,647.2889739,8.733333333,46.6287864263804,65.659497220092,36.5713549654908,0.179823304634962,0.555065838441827,0.230973474007142,0.265652213836683,-0.814561078559878,3.63791169722101
"53",25,53,1,4,4,2.86,27,6,318.6382435,10.53333333,46.5787587015738,67.7748562348668,36.6904131355932,0.193882490971285,0.540155073465974,0.244312670132037,0.284473393867864,-0.795772557504136,3.73790797378323
"54",26,54,1,3,4,4.37,19,5,470.9485342,11.07142857,48.3331317724458,68.6502394543344,37.7030887190402,0.181441631949744,0.547070000819336,0.234926326415909,0.266411920178832,-0.788787557041584,3.69020416950064
"55",27,55,1,2,4,4.4,34,5,638.3370783,13.73333333,44.0263171631403,66.5818746520045,37.9149498886414,0.211066087593108,0.568571214457338,0.242345885409294,0.320954368250842,-0.958499507334372,3.5433843033925
"56",28,56,1,1,4,1.87,16.5,3,274.6805217,13.6,44.3094308035714,66.5281394675926,35.549324156746,0.206101486085773,0.534661509241102,0.253092538167074,0.302469634896667,-0.809210888813647,3.77523102879599
"57",14,57,1,1,5,5.8,36.5,5,579.6929627,9.928571429,49.8030169025157,70.8128439465409,39.6969830974843,0.182674998463379,0.558866731123412,0.231074584027623,0.271182461525116,-0.838300530230841,3.6129358561044
"58",13,58,2,2,5,3.465,26.5,5,655.0540174,18.6,39.2838895975057,60.9361093395692,34.273579223356,0.223380146984065,0.561305740816523,0.251557667066248,0.339543219493942,-0.964396089398587,3.5848649884423
"59",12,59,2,3,5,4.43,24.5,5,642.2987559,13.76923077,48.2179766149329,64.7234427432886,38.8216364303691,0.155214219695426,0.59715894478829,0.201914016677184,0.235973759307959,-0.912100860644227,3.37498143213191
"6",65,6,1,6,1,3.985,19.5,4,404.5939379,9.714285714,47.5555199795082,68.5866162909836,36.6688268442623,0.184396218743948,0.536959026160336,0.240839037628289,0.267568742373863,-0.756437215322083,3.77840767778546
"60",11,60,2,4,5,3.62,20.5,5,334.3261565,9,63.207130772293,79.1661524681529,44.3936853105096,0.118968282809343,0.55745105852446,0.1969992295968,0.169921295511759,-0.641974716484706,3.65892141618391
"61",10,61,2,5,5,3.71,14,4,323.9285739,8.333333333,58.587859375,76.031171875,44.237015625,0.138598792162945,0.579540147283831,0.199291578996933,0.205406569692798,-0.790808146566291,3.48074588473606
"62",9,62,2,6,5,5.5,25,4,510.2833043,9.066666667,51.236473880597,72.2217817164179,38.9874795942164,0.177613628138698,0.538246985914177,0.236404450904301,0.257615074059509,-0.74113991847448,3.75981327090058
"63",8,63,2,7,5,4.385,40,5,579.4805739,13.6,47.1124678663239,69.6129498714653,35.7532434929306,0.197124294105019,0.515942247339762,0.255950001054579,0.282409280771783,-0.70674858029441,3.93415334622111
"64",7,64,2,8,5,3.77,25,4,386.7686087,10.06666667,47.6628895184136,66.9440399256374,38.9289460871105,0.17710990616851,0.580442186986601,0.219666877218068,0.268486905718589,-0.908542117007137,3.46993932486416
"65",6,65,2,9,5,2.53,26,4,312.8933739,12.46666667,56.5643633261494,72.1697198275862,42.2618534482759,0.131134000158665,0.58153148405094,0.194640691332915,0.193356832269859,-0.776359006953547,3.47413377727073
"66",5,66,2,10,5,4.6,17.5,4,468.989687,9.8,47.3882261410788,65.0472477956432,36.1826698651452,0.164459297194591,0.555475100817289,0.222560341125932,0.241199247527044,-0.773682349790956,3.63828795124196
"67",4,67,2,11,5,2.635,22.5,4,383.4542609,13.73333333,48.9526579483696,63.8285071331522,38.1921068274456,0.144521131045504,0.594499748753906,0.197221325144425,0.217284828802879,-0.866676782013533,3.39562737457105
"68",3,68,2,12,5,2.42,39,6,384.2560174,14.53333333,51.866460755814,73.6065740067829,38.9839510658915,0.180718139373793,0.527900085165206,0.241956012104895,0.260442814707483,-0.706451516143421,3.83585365407508
"69",2,69,2,13,5,3.54,16.5,4,340.778087,9.133333333,52.715625,67.7295185810811,40.3612753378378,0.133720696394257,0.592129740625456,0.192270300792984,0.199496555432908,-0.826053090284844,3.41334150047383
"7",64,7,1,7,1,4.7,14,5,533.6920696,10.46666667,46.21484375,62.6483276367187,37.24169921875,0.161488148444676,0.589575186764645,0.208249027147065,0.243948275528929,-0.899687946406802,3.42461890520452
"70",1,70,2,14,5,6.015,64,8,568.9062261,9.666666667,58.5096040883459,72.7088228383459,40.8261865601504,0.114656881249675,0.558082136751795,0.193758229219724,0.164579439626382,-0.632943200075664,3.62309222786102
"8",63,8,1,8,1,5.42,17.5,5,432.3298435,8.333333333,45.5634765625,65.8323451450893,37.2127976190476,0.187100500724922,0.564548989855595,0.231230241000364,0.280324877863559,-0.878758368446841,3.56567428863445
"9",62,9,1,9,1,2.885,43.5,6,652.0616348,21,39.0147103133609,61.8275761880165,33.7181366219008,0.221950606560672,0.550867558328051,0.255192803779906,0.333276039458526,-0.92207932838065,3.65681167988271
